698	377	48	87
704	382	46	87
706	384	45	89
711	385	45	91
711	385	44	92
709	383	43	87
707	379	43	89
706	381	43	86
706	380	43	88
705	382	44	89
705	382	46	94
703	386	46	94
705	388	44	93
707	389	50	94
686	388	48	97
666	387	44	93
652	384	47	92
656	381	49	94
664	383	51	96
667	388	52	98
666	389	51	97
664	388	50	98
667	389	47	94
672	387	44	95
671	388	45	95
659	390	44	95
647	385	46	99
639	386	47	98
640	387	48	97
646	390	46	97
640	397	46	99
625	400	46	100
602	401	48	98
587	403	48	93
621	363	50	86
588	399	44	77
592	400	41	73
593	399	41	80
594	401	45	100
599	404	48	99
607	403	47	99
610	402	47	100
616	400	48	101
620	401	47	100
625	401	49	98
630	400	53	104
635	401	53	101
640	406	53	102
641	407	47	100
640	407	44	100
635	407	47	99
632	403	54	101
629	407	63	99
623	409	71	96
626	410	61	94
625	406	55	99
630	407	48	101
632	408	46	101
632	406	46	101
635	407	47	98
639	405	50	101
637	405	58	100
632	407	64	100
629	408	58	103
632	405	54	106
645	406	46	100
654	407	45	104
656	405	48	106
703	410	49	128
698	409	52	128
689	411	53	127
676	411	54	129
658	405	52	132
638	403	53	132
626	403	55	131
626	401	54	128
629	403	53	115
635	402	48	114
628	401	48	111
620	398	54	110
615	397	58	110
614	396	60	112
613	399	61	111
610	403	61	111
608	408	54	106
607	409	50	109
601	408	44	109
588	406	48	109
577	405	52	109
566	402	56	108
559	400	61	110
553	399	65	109
550	397	63	111
548	398	58	110
553	396	53	111
564	396	49	110
571	394	52	111
577	392	57	111
585	393	59	109
593	393	61	109
602	394	65	108
613	396	63	107
625	397	59	109
638	400	55	107
650	397	50	110
656	397	51	113
655	395	56	113
656	395	59	110
657	396	61	108
655	396	66	109
660	397	65	111
668	398	61	111
676	399	55	111
685	399	50	112
689	396	50	112
688	394	55	114
690	394	59	112
693	393	65	112
696	396	66	110
703	397	67	111
712	398	63	112
722	401	54	110
732	399	49	114
739	396	51	115
743	392	54	120
746	391	56	118
745	394	60	115
744	394	65	115
742	395	63	116
744	394	59	116
746	396	54	114
749	395	49	116
744	393	51	116
738	393	57	113
738	391	59	112
733	393	64	109
726	393	68	111
725	393	65	112
724	397	61	107
729	396	54	108
737	395	47	111
740	394	48	111
738	390	51	113
738	389	52	114
738	389	57	112
737	391	58	110
743	392	56	109
755	391	52	110
768	392	47	111
781	392	45	110
786	389	49	111
793	387	52	112
798	389	56	109
794	388	61	109
779	390	66	107
765	391	62	110
763	388	53	110
757	389	48	105
742	387	45	108
728	385	47	108
717	382	47	106
704	382	48	106
700	386	50	105
697	388	52	106
693	390	49	108
682	393	48	105
682	391	44	108
681	388	45	106
687	390	47	105
680	389	47	104
671	387	53	106
659	386	56	103
649	385	59	103
647	385	57	104
644	385	49	103
641	381	45	103
642	379	44	103
638	379	44	104
635	380	45	104
632	380	46	102
628	379	49	101
627	377	48	102
625	374	44	98
620	373	41	96
616	370	40	98
610	367	40	98
606	366	44	97
603	365	47	96
595	364	51	96
590	365	54	95
585	366	53	98
591	367	49	95
598	365	45	97
604	364	42	96
608	362	43	97
605	361	42	95
606	361	43	95
613	360	43	95
622	360	42	95
630	360	41	95
638	363	40	92
642	364	37	93
647	366	37	96
651	366	39	97
655	366	41	97
658	367	43	97
661	368	45	95
655	367	47	94
639	365	45	93
621	364	42	90
618	365	40	89
617	364	40	91
613	361	40	93
609	359	41	94
602	360	40	90
594	360	40	89
587	360	40	89
581	361	40	88
575	362	37	87
569	362	37	88
567	361	37	88
563	359	37	88
559	358	38	88
553	357	39	88
549	357	42	85
548	358	43	86
549	359	42	85
551	358	41	84
557	360	37	82
561	357	37	85
564	355	36	84
564	356	37	85
566	354	37	85
566	353	37	83
567	353	37	84
571	354	35	84
575	355	35	84
579	357	34	81
582	356	34	83
585	356	34	83
587	354	34	82
590	354	35	84
592	353	38	82
594	353	39	81
598	356	38	79
604	356	36	78
609	358	35	78
613	356	33	79
639	346	31	77
620	350	34	81
623	348	36	83
646	348	31	75
645	347	34	80
644	347	37	82
648	347	35	81
648	345	36	83
650	345	35	82
652	341	35	78
654	339	33	73
654	338	35	80
652	341	36	80
655	340	36	81
660	342	35	77
662	342	33	77
666	341	33	79
666	343	34	82
667	342	35	83
669	344	35	83
671	346	34	83
671	345	33	83
669	347	33	82
665	346	33	81
661	344	33	80
656	344	33	80
650	342	33	81
646	343	32	78
642	341	31	80
636	342	32	78
633	339	32	78
630	339	32	75
629	338	31	76
629	336	31	75
629	337	32	73
629	339	32	72
629	334	33	74
630	335	32	75
629	335	32	75
630	333	31	73
630	331	32	73
630	330	32	72
630	328	33	72
630	328	33	74
631	326	33	75
631	327	32	73
631	326	31	75
632	327	31	73
633	327	31	71
633	327	30	68
634	326	30	70
634	325	29	71
635	325	30	70
636	326	29	69
635	325	30	70
633	327	31	68
